Parameter,Mean,Median,SD,lcl,ucl
col.trend[1],1.09676417036585,1.10741962891645,0.0782632388865362,0.907473463985005,1.21998565329901
col.trend[2],1.07743866354874,1.07763086276071,0.0818679479112209,0.919636161796521,1.22791781257535
col.trend[3],1.06017081583401,1.06624412177674,0.0890737982841649,0.880737634421798,1.21677811536575
col.trend[4],1.09354874527285,1.09722713933398,0.0798105334000544,0.925176318329073,1.22989233678624
deviance,2.99982268949068,2.37247201496698,2.44663365094094,0.213831335875323,9.31330250052689
