Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
ann.surv[1],0.849688305204761,0.849041573727746,0.0871481348301858,0.706662595535163,0.99273868328426,0.999906515213954,6000
ann.surv[2],0.945963491049613,0.950925671973956,0.0366500397249068,0.865170217811618,0.997793742591458,1.21642100340685,14
ann.surv[3],0.998135855745611,0.998686645817475,0.00184447862372536,0.993239140565643,0.999950085801152,1.00255372793779,1385
ann.surv[4],0.989693566234314,0.992228016153377,0.00910655994045529,0.966412472618959,0.999689534982043,1.02690241492131,220
ann.surv[5],0.997680732886409,0.998367980205119,0.00231280910735193,0.9916552088348,0.999934666634263,1.00451926201533,1152
ann.surv[6],0.997964813065395,0.998568575901758,0.00199418002652686,0.992627218205564,0.999945333045887,1.00124498218445,1652
ann.surv[7],0.998300467182149,0.998796490166032,0.00163445940678144,0.993991811680413,0.999953393479202,1.00031006243398,6000
ann.surv[8],0.998348941428261,0.998839832506474,0.00162867176204499,0.994007800557472,0.999963360032641,1.00545405842876,655
ann.surv[9],0.998446942269553,0.998951476251445,0.00158577913990695,0.994137729367678,0.999956867008243,1.00131796491353,6000
ann.surv[10],0.998303497818534,0.998810083546591,0.0016644557889814,0.993927759204022,0.999959287220946,1.00383762193558,1431
ann.surv[11],0.998229773973651,0.998775651382774,0.00176677598846071,0.993638620289039,0.999950119305434,1.00273770090399,1321
ann.surv[12],0.998272682696708,0.998785508025539,0.00173373393089034,0.993607686521798,0.999956616360372,1.00076240449325,6000
ann.surv[13],0.720565222096779,0.71461335443771,0.0202737079246765,0.700552727945075,0.774584454249209,1.00068398623089,4128
loss,0.173887242499836,0.17384041302475,0.0058341191537116,0.162783039821596,0.18530784773726,1.00212694641243,857
beta.effort[1],-0.135567321045095,-0.136238830529316,0.0842781861717668,-0.302426418599707,0.0295142035070347,1.00014100844907,6000
beta.effort[2],0.385415451331809,0.384533480531625,0.0619549569310038,0.263238116080775,0.507662619932775,1.01060422148122,191
beta.effort[3],0.466845505012898,0.465769608499557,0.08449252852445,0.30359166876467,0.635141296347029,1.00019265112069,6000
beta.effort[4],0.068520847307378,0.0678981416485448,0.0891689270897392,-0.103704686101917,0.241594574495478,1.00029641451945,6000
beta.effort[5],-0.300106164900983,-0.299972238466041,0.144193416974604,-0.580851431942643,-0.0171559723279123,0.999996649193092,6000
beta.effort[6],0.60092769701095,0.602497708127825,0.247864472710302,0.101490584190645,1.08907452375584,1.00085972395662,2802
beta.effort[7],1.19780620912331,1.19908485658946,0.147370949068495,0.912816264998916,1.48536529066386,1.00122564110138,1382
beta.effort[8],0.696034804645028,0.691310371195291,0.185475579490675,0.346158205385257,1.06141967619389,1.00001911746656,6000
mean.p,0.337563183154356,0.337511008377276,0.00794262517938756,0.322050483327434,0.353216653895578,1.00105474210818,2515
deviance,9234.35892067498,9235.64342802256,82.1475857135502,9073.47605744715,9396.75399817493,1.00034859452761,5026
