Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
"N[1,1]",1.37116666666667,1,1.78258190235269,0,6,1.00317539297732,1539
"N[2,1]",4.733,4,4.32024170790661,0,16,1.00221298766155,3501
"N[3,1]",55.817,55,10.583249903964,38,79,1.00883156185281,261
"N[4,1]",52.6525,52,9.41968853901384,36,72,1.00407672773874,1517
"N[5,1]",74.3831666666667,73,12.8499754974061,52,102,1.00165088100391,1115
"N[6,1]",93.6811666666667,92,16.4695290219015,67,131,1.01184465243702,251
"N[7,1]",322.729666666667,321,26.3960232780692,274,378,1.03153795515887,93
"N[8,1]",330.205666666667,329,26.8125751639048,280,386,1.02935182646377,92
"N[9,1]",391.784666666667,393,25.7230359273248,344,440,1.07363579856438,37
"N[10,1]",409.2965,410,26.3810774601416,360,460,1.10226520099783,30
"N[11,1]",433.927666666667,433,30.2153481269475,378,494,1.091478814337,37
"N[12,1]",512.989666666667,514,29.9381630836578,458,569,1.07468449784066,39
"N[13,1]",523.668833333333,525,30.3537431012871,468,581,1.08552921893659,35
"N[14,1]",530.489666666667,532,31.7585158203288,472,591,1.07879312639997,38
"N[1,2]",3.0275,2,3.49377229139756,0,12,1.00190374821956,1338
"N[2,2]",264.965,265,16.1183355775433,234,297,1.08103452550635,29
"N[3,2]",252.3505,252,12.8176193178568,229,279,1.02202250662753,98
"N[4,2]",314.765333333333,316,30.3277852908681,253,369,1.04548284222287,59
"N[5,2]",364.020166666667,363,21.273493371461,325,409,1.0547570439446,42
"N[6,2]",415.665,415,23.9932432354088,370,466,1.06907409572732,34
"N[7,2]",602.381,603,31.5925812103294,538.975,662,1.08388502981514,29
"N[8,2]",630,628,27.9640363900112,579,694,1.21324267166054,15
"N[9,2]",646.457166666667,644,27.977710604825,600,712,1.26608680023866,13
"N[10,2]",653.085,651,28.1567086447786,605,720,1.27152246932017,12
"N[11,2]",745.677666666667,742,41.9650919937817,667.975,836,1.18658756950274,16
"N[12,2]",809.526,807,48.2533147849066,726,912.025,1.14642731002181,20
"N[13,2]",848.4315,844,55.9745224688066,754,973,1.19743179689132,16
"N[14,2]",701.051,697,60.5958115251849,597.975,835,1.14148397474127,20
"N[1,3]",160.383,159,19.4800810212064,124,201.025,1.01504763419135,145
"N[2,3]",530.934,529,27.9676421751067,482,590,1.11551865542701,23
"N[3,3]",624.655,623,30.4572856534343,571,692,1.32000492658028,11
"N[4,3]",594.860666666667,590,37.326332913155,534,679,1.36689214057442,10
"N[5,3]",810.0355,810,39.8318172908892,731,888,1.30281750367527,11
"N[6,3]",856.606833333333,855,38.2403971558176,789,938,1.46854463204366,8
"N[7,3]",1057.75583333333,1054,49.2782637057273,965.975,1157,1.26931600056687,12
"N[8,3]",1150.23633333333,1147,44.1106197079274,1070,1245,1.37955397247131,9
"N[9,3]",1229.63816666667,1229,47.9953626486787,1140,1324,1.42541421088633,8
"N[10,3]",1337.547,1336,37.8617622829929,1265,1410,1.58921944201854,7
"N[11,3]",1360.77916666667,1355,30.5635036265676,1308,1413,2.30033381835818,4
"N[12,3]",1363.53333333333,1357,29.1368617906606,1317,1413,2.45997422651982,4
"N[13,3]",1362.41033333333,1356,29.1019320142733,1316,1413,2.46073949609554,4
