Parameter,Mean,Median,SD,lcl,ucl,Rhat,n.eff
"N[14,3]",1072.3955,1070,31.835514703175,1018,1141,1.47933058966847,8
"N[1,4]",2.02683333333333,1,2.50987978895034,0,9,1.00007316267217,6000
"N[2,4]",9.554,7,8.81455425576291,0,33,1.01491944424231,833
"N[3,4]",133.640833333333,134,13.0272324038111,108,160,1.0016091450526,1235
"N[4,4]",135.818166666667,136,11.9196245556287,113.975,160,1.00365874941086,637
"N[5,4]",141.97,142,12.8717797442945,118,168,1.0009143839075,3560
"N[6,4]",166.8265,166,15.6927406179211,140,201,1.00610443112858,4097
"N[7,4]",193.215166666667,192,18.5283140007082,161,234,1.00358585815425,810
"N[8,4]",304.278166666667,303,18.1975267999755,271,342,1.03604994026208,105
"N[9,4]",311.990666666667,310,17.6769527539487,281,351,1.0377563048197,101
"N[10,4]",329.786333333333,328,19.2104794398511,297,371,1.04661174084139,59
"N[11,4]",355.6715,354,21.5267776217388,317,400,1.07805786896859,39
"N[12,4]",372.464166666667,371,21.2590068802491,336,417,1.06186395448156,56
"N[13,4]",382.309166666667,381,22.2111564733627,343,428,1.05846288947956,59
"N[14,4]",388.881833333333,387,23.3914314044569,349,436,1.0505426318268,68
ann.surv[1],0.89002115267966,0.897386005977326,0.0647393872365615,0.746589937467345,0.990905168256524,1.03681506754796,74
ann.surv[2],0.915023276991635,0.913435821082461,0.0356438391948209,0.847153591286092,0.981395306652585,1.93458438061674,5
ann.surv[3],0.927084420786873,0.928171864496208,0.0245244005848413,0.876401923626386,0.972317931745484,1.2255572754022,15
ann.surv[4],0.987521143055982,0.991030324694984,0.0116848925927658,0.955362784068343,0.999681125209241,1.01198857123909,276
ann.surv[5],0.990958189353159,0.993750648962085,0.00885210545952903,0.965688907854274,0.999785200965127,1.17264752171541,27
ann.surv[6],0.990302838543686,0.992287705335494,0.00790882398552495,0.97074607961227,0.99969064190236,1.08588708158485,33
ann.surv[7],0.996196825422632,0.99724856584076,0.00353782114437588,0.98688885985697,0.999893898327664,1.02534340972575,184
ann.surv[8],0.99711982833608,0.997949574292381,0.00276063730317446,0.989804099726146,0.99992069620357,1.01496482692243,178
ann.surv[9],0.997546416261464,0.998217990848467,0.00230475768473103,0.991419298326848,0.999927622016979,1.04141285998854,99
ann.surv[10],0.998457007124412,0.998907154382386,0.00149193572887263,0.994351627244579,0.99996058531658,1.00904911787123,465
ann.surv[11],0.998533736866037,0.999018229381758,0.00150584708632022,0.994411268432701,0.999960650397426,1.00661681356122,767
ann.surv[12],0.998480531699886,0.998950883408918,0.00155376268459136,0.994301407876698,0.999961037093366,1.00924728411338,689
ann.surv[13],0.718055568518681,0.712497646759001,0.0181167496743079,0.700422015927749,0.767710371727159,1.00955979201948,2244
mu.ring.loss,-2.99703924131822,-2.99727281385872,0.0809896544046248,-3.16404782274224,-2.84524281827754,1.3851772478036,9
deviance,9953.96750375979,9773.23808902567,1267.71136311838,8060.6921065449,12550.0091282209,2.87000145387123,4
