Cave_ID,Cave_String,Year,Date,start_time,end_time,Taken_from_first-last_bird,hours,number_persons,net_length,only_nest_check,Only_during_day,Notebook,Remarks
,MT09_RM04A,2012,29/06/2012,22:00,00:00,NO,2,1,,NO,NO,06.12-09.12,
,MT09_RM04A,2012,20/11/2012,17:30,19:00,NO,1.5,1,,NO,NO,01.12-05.13,
,MT09_RM04A,2012,29/11/2012,17:20,18:20,NO,1,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2012,01/12/2012,17:15,19:45,NO,2.5,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2012,02/12/2012,17:30,19:30,NO,2,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2012,13/12/2012,17:00,20:00,NO,3,1,0,NO,NO,01.12-05.13,
,MT09_RM04A,2012,15/12/2012,18:50,20:30,NO,2,1,0,NO,NO,01.12-05.13,
,MT09_RM04A,2012,31/12/2012,17:55,20:30,NO,2.58,2,0,NO,NO,01.12-05.13,
,MT09_RM01,2013,01/01/2013,17:30,20:00,NO,2.5,1,0,NO,NO,01.12-05.13,
,MT09_RM04B,2013,08/01/2013,18:30,21:00,NO,3.5,1,0,NO,NO,01.12-05.12,
,MT09_RM04A,2013,08/01/2013,18:30,21:00,NO,3.5,1,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,30/01/2013,18:15,21:15,NO,3,1,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,31/01/2013,19:00,21:00,NO,2,3,0,NO,NO,01.12-05.12,
,MT09_RM04B,2013,31/01/2013,19:00,21:00,NO,2,3,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,06/02/2013,19:20,21:20,NO,2,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,14/02/2013,18:00,21:15,NO,3.25,4,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,05/03/2013,19:00,20:45,NO,1.75,4,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,11/03/2013,20:00,23:30,NO,3.5,4,0,NO,NO,01.12-05.13,
,MT09_RM01,2013,13/03/2013,19:00,21:00,NO,2,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,18/03/2013,03:00,04:30,YES,1.5,3,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,19/03/2013,01:30,05:00,NO,3.5,2,0,NO,NO,01.12-05.13,
,MT09_RM01,2013,24/03/2013,18:00,20:00,NO,2,4,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,28/03/2013,18:00,20:15,NO,2.25,2,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,29/03/2013,19:00,21:30,NO,2.5,3,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,30/03/2013,19:30,21:30,NO,2,4,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,01/04/2013,21:00,21:30,YES,0.5,3,0,NO,NO,01.12-05.13,
,MT09_RM04C,2013,02/04/2013,19:00,22:20,YES,3,3,24,NO,NO,01.12-05.12,
