Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,TH,middletoe,Head,BLnalopsi,ringer,cave,nest_or_direction,Tag details,BP,Notes,Prospector
,,MT09_RM01,08/03/2023,3,2023,15,15:30:00,R,EE03004,0,4,,,,,,,,,,,BLM seabird project,RM01,NB02 on egg,with FF03203 on left,,,0
,,MT09_RM01,08/03/2023,3,2023,15,15:35:00,R,EE04229,0,4,,,,,,,,,,,BLM seabird project,RM01,NB23 on egg,,,,0
,,MT09_RM01,08/03/2023,3,2023,15,15:50:00,R,FF03205,0,4,,,,,,,,,,,BLM seabird project,RM01,NB20 on egg,,,,0
,,MT09_RM04D,12/04/2023,4,2023,20,20:22:00,R,EE04681,0,4,,,,,,,,,,,BLM seabird project,RM04D,way in,,,,0
,,MT09_RM04D,12/04/2023,4,2023,20,20:35:00,N,EE05051,0,4,,,380,37.8,8.1,,,,,28.5,BLM seabird project,RM04D,way in ,overlapped on purpose,,,0
,,MT09_RM04D,12/04/2023,4,2023,20,20:48:00,N,EE09002,0,4,,,395,37.4,8.3,,,,,28.6,BLM seabird project,RM04D,way in,,,,0
,,MT09_RM04D,12/04/2023,4,2023,20,20:55:00,R,EE04658,0,4,,,430,,,,,,,,BLM seabird project,RM04D,way in,,BP4,,0
,,MT09_RM04D,12/04/2023,4,2023,21,21:04:00,R,EE03611,0,4,,,355,36.3,8.1,43.6,,,,28.5,BLM seabird project,RM04D,way in,GLS retrieved | P1 P5 P9 & blood sampled,BP2,HeadBill 82.2 ,0
,,MT09_RM04D,12/04/2023,4,2023,21,21:26:00,R,EE04848,0,4,,,320,,,,,,,,BLM seabird project,RM04D,way in,,BP2,,0
,,MT09_RM04D,12/04/2023,4,2023,21,21:39:00,R,EE03656,0,4,,,420,,,,,,,,BLM seabird project,RM04D,way in,,BP2,ringed as 3J 25/06/2017 never recaptured,0
,,MT09_RM04D,12/04/2023,4,2023,21,21:55:00,R,EE04590,0,4,,,385,,,,,,,,BLM seabird project,RM04D,way in,,BP1,,0
,,MT09_RM04D,12/04/2023,4,2023,22,22:12:00,N,EE09003,0,4,,,340,,,,,,,,BLM seabird project,RM04D,way in ,,BP2,prospector,1
,,MT09_RM04D,12/04/2023,4,2023,22,22:40:00,R,EE06802,0,4,,,385,,,,,,,,BLM seabird project,RM04D,way in,GLS retrieved from FF04849,BP2,,0
,,MT27_Hasan,10/04/2023,4,2023,20,20:00:00,N,EE09026,0,4,,,295,34.7,7.2,46.2,,,,,BLM seabird project,Ghar Hasan,NS3,,BP2,prospecting NS3 with EE01660,1
,,MT27_Hasan,10/04/2023,4,2023,20,20:00:00,R,EE01660,0,4,,,,36.1,7.3,47.8,,,,,BLM seabird project,Ghar Hasan,NS3,old ring EE01660 replaced with EE09027,BP2,prospecting NS3 with EE09026,1
,,MT27_Hasan,10/04/2023,4,2023,20,20:00:00,R,EE09027,1,4,,,,36.1,7.3,47.8,,,,,BLM seabird project,Ghar Hasan,NS3,old ring EE01660 replaced with EE09027,BP2,prospecting NS3 with EE09026,1
,,MT09_RM04A,12/04/2023,4,2023,20,20:39:00,R,EE01550,0,4,,,410,,,,,,,,BLM seabird project,RM04A,way in,old ring EE01550 replaced with EE09028,BP2,,0
,,MT09_RM04A,12/04/2023,4,2023,20,20:39:00,R,EE09028,1,4,,,410,,,,,,,,BLM seabird project,RM04A,way in,old ring EE01550 replaced with EE09028,BP2,,0
,,MT09_RM04A,12/04/2023,4,2023,20,20:42:00,N,EE09029,0,4,,237,365,34.7,7.8,46.7,,,,,BLM seabird project,RM04A,way in,,BP2,,0
,,MT09_RM04A,12/04/2023,4,2023,21,21:02:00,R,EE06932,0,4,,,355,,,,,,,,BLM seabird project,RM04A,way in,,BP2,,0
,,MT09_RM04A,12/04/2023,4,2023,21,21:10:00,N,EE09030,0,4,,,330,,,,,,,,BLM seabird project,RM04A,way in,,BP3,,0
,,MT09_RM04A,12/04/2023,4,2023,21,21:21:00,R,EE03800,0,4,,,360,,,,,,,,BLM seabird project,RM04A,way in,,BP2,"ringed as pullus 04/06/2018	",0
,,MT09_RM04A,12/04/2023,4,2023,21,21:42:00,N,EE09031,0,4,,,310,,,,,,,,BLM seabird project,RM04A,way in,,BP0,,0
,,MT09_RM04A,12/04/2023,4,2023,22,22:00:00,R,EE03332,0,4,,,435,,,,,,,,BLM seabird project,RM04A,way in,,BP3,,0
,,MT09_RM04A,12/04/2023,4,2023,22,22:14:00,R,EE06705,0,4,,,320,,,,,,,,BLM seabird project,RM04A,way in,,BP3,,0
,,MT09_RM04A,12/04/2023,4,2023,22,22:29:00,R,EE03243,0,4,,,370,,,,,,,,BLM seabird project,RM04A,way in,,BP2,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,20,20:48:00,N,EE09004,0,4,,,370,,,,,,,,BLM seabird project,Cominotto Cave 2 ,way in,,BP3,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,21,21:12:00,R,EE04735,0,4,,,440,,,,,,,,BLM seabird project,Cominotto Cave 2 ,way in,,BP3,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,21,21:16:00,R,EE04716,0,4,,,455,,,,,,,,BLM seabird project,Cominotto Cave 2 ,way in,,BP3,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,21,21:38:00,R,EE04781,0,4,,,395,,,,,,,,BLM seabird project,Cominotto Cave 2,way in,,BP3,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,22,22:14:00,R,EE06792,0,4,,,490,,,,,,,,BLM seabird project,Cominotto Cave 2,way in,,BP2,,0
,,MT17_Cominotto_2,19/04/2023,4,2023,22,22:23:00,N,EE09005,0,4,,,310,,,,,,,,BLM seabird project,Cominotto Cave 2,way out,,BP5,,0
,,MT17_Cominotto_9,19/04/2023,4,2023,20,20:59:00,R,EE03956,0,4,,,485,,,,,,,,BLM seabird project,Cominotto Cave 9,way in ,open ring EE03956 replaced with EE09032,,,0
,,MT17_Cominotto_9,19/04/2023,4,2023,20,20:59:00,R,EE09032,1,4,,,485,,,,,,,,BLM seabird project,Cominotto Cave 9,way in ,open ring EE03956 replaced with EE09032,,,0
,,MT17_Cominotto_9,19/04/2023,4,2023,21,21:05:00,N,EE09033,0,4,,,320,,,,,,,,BLM seabird project,Cominotto Cave 9,way in,,,,0
,,MT17_Cominotto_9,19/04/2023,4,2023,21,21:17:00,N,EE09034,0,4,,,330,,,,,,,,BLM seabird project,Cominotto Cave 9,,,BP2,prospector,1
,,MT17_Cominotto_9,19/04/2023,4,2023,21,21:56:00,N,EE09035,0,4,,,310,,,,,,,,BLM seabird project,Cominotto Cave 9,,,BP4,prospector,1
,,MT17_Cominotto_9,19/04/2023,4,2023,22,22:24:00,N,EE09036,0,4,,,490,,,,,,,,BLM seabird project,Cominotto Cave 9,way in,,,,0
