Origninal_ring,Replacement_ring,DateReplacement,Pit_tag,Gps_tag,GLS_tag,F_ring_additional,Remarks,In case of gps tagged birds remarks refers to month when gps tag was on bird
EE01991,,,,,,,,
EE01961,,,,,,,,
EE01962,,,,,,,,
EE01964,,,,,,,,
EE01965,,,,,,,,
EE01966,,,,,,,,
EE01967,,,,,,,,
EE01968,,,,,,,,
EE01969,,,,,,,,
EE01970,,,,,,,,
EE01114,,,,,,,,
EE01992,,,,,,,,
EE01994,,,,,,,,
EE01995,,,,,,,,
EE01996,,,,,,,,
EE01993,,,,,,,,
EE01971,EE06569,30/06/2019,,,,,,
EE01972,EE04175,18/06/2019,,,,,,
EE01973,,,,,,,,
EE01626,,,,,,,,
EE01627,,,,,,,,
EE01628,,,,,,,,
EE01629,,,,,,,,
EE01630,,,,,,,,
EE01631,,,,,,,,
EE01632,,,,,,,,
EE01633,,,,,,,,
EE01634,,,,,,,,
EE01635,,,,,,,,
EE01636,,,,,,,,
EE01637,,,,,,,,
EE01638,,,,,,,,
EE01997,,,,,,,,
EE01974,,,,,,,,
EE01975,,,,,,,,
EE01976,,,,,,,,
EE01977,,,,,,,,
EE01978,,,,,,,,
EE01979,,,,,,,,
EE01980,,,,,,,,
EE01639,EE03344,10/05/2017,,,,,,
EE01640,,,,,,,,
EE01641,,,,,,,,
EE01642,,,,,,,,
EE01643,,,,,,,,
EE01644,,,,,,,,
EE01645,,,,,,,,
FF03172,,,,,,,,
FF03173,,,,,,,,
FF03174,,,,,C4405,NA,,
FF03175,,,,,,,,
FF03176,,,,,,,,
EE01646,,,,,,,,
EE01518,,,,,,,,
EE01647,,,,,,,,
EE01648,EE03429,31/05/2018,,,,,,
EE01519,,,,,,,,
EE01649,,,,,,,,
EE01650,,,,,,,,
EE01245,EE03718,11/05/2018,,,,,,
FF03252,,,,,,,,
FF03253,,,,,,,,
FF03254,,,,,,,,
FF03255,,,,,,,,
EE01533,,,,,,,,
FF03256,,,,,,,,
EE01212,,,,,,,,
EE01998,,,,,,,,
EE01999,,,,,,,,
EE02000,,,,,,,,
FF03177,,,,,,,,
FF03178,,,,,,,,
FF03179,,,,,,,,
EE00627,,,,,,,,
EE00628,,,,,,,,
EE00664,,,,,,,,
EE00665,,,,,,,,
EE00666,,,,Pinpoint49102,,,Apr-19,
EE00667,,,,,,,,
EE00668,,,,,,,,
EE00669,EE03182,18/04/2017,A71,,,,,
EE00670,,,,,,,,
FF03180,,,,,,,,
FF03181,,,,Pinpoint49095,,,Apr-19,
FF03182,,,,,,,,
FF03183,,,,,,,,
FF03184,,,,,,,,
FF03185,,,,,,,,
FF03186,,,,,,,,
FF03187,,,,,,,,
FF03188,,,,,,,,
FF03189,,,,,,,,
FF03190,,,,,,,,
FF03191,,,,,,,,
FF03192,,,,,,,,
FF03193,,,,,,,,
FF03194,,,,,,,,
FF03195,,,,,,,,
FF03196,,,,,,,,
FF03197,,,,,,,,
FF03198,,,,,,,,
FF03199,,,,,,,,
FF03200,,,,,,,,
EE01711,,,,,,,,
EE01712,,,,,,,,
EE01713,,,,,,,,
EE01714,,,,,,,,
EE01715,,,,,,,,
EE01716,,,,,,,,
EE01717,,,,,,,,
EE01718,,,,,,,,
EE01719,EE03777,30/04/2018,C10,,,,,
EE01720,,,,,,,,
EE01721,,,,,,,,
EE01722,,,,,,,,
EE01723,,,,,,,,
EE01724,,,,,,,,
EE01725,,,,,,,,
EE01726,EE03428,30/05/2018,Red,,,,,
EE01727,,,,,,,,
EE01728,,,,,,,,
EE01729,,,,,,,,
EE01730,,,,,,,,
EE01731,,,,,,,,
EE01732,,,,,,,,
EE01733,,,,,,,,
EE01734,EE04014,30/04/2019,,,,,,
EE01735,,,,,,,,
EE01736,,,,,,,,
EE01737,,,,,,,,
EE01738,,,,,,,,
EE01739,,,,,,,,
EE01740,,,,,,,,
EE01741,,,,,,,,
EE01742,,,,,,,,
EE01743,,,,,,,,
EE01744,,,,,,,,
EE01745,,,,,,,,
EE01746,,,,,,,,
EE01747,,,,,,,,
EE01748,,,,,,,,
EE01749,,,,,,,,
EE01750,,,,,,,,
EE01701,EE03670,30/04/2018,A05,,,,,
EE01702,,,,,,,,
EE01703,,,,,,,,
EE01704,,,,,,,,
EE01705,,,,,,,,
EE01706,,,,,,,,
EE01707,,,,,,,,
EE01708,,,,,,,,
EE01709,,,,,,,,
EE01710,,,,,,,,
EE00301,,,,,,,,
EE00302,,,,,,,,
EE00303,,,,,,,,
EE00304,,,,,,,,
EE00305,EE03640,21/06/2017,,,,,,
EE00306,,,,,,,,
EE00307,,,,,,,,
EE00308,,,,,,,,
EE00309,,,,,,,,
EE00310,,,,,,,,
EE00317,,,,,,,,
EE00316,,,,,,,,
EE01401,EE04311,30/04/2019,,,,,,
EE00315,,,,,,,,
EE01538,,,,,,,,
EE00314,,,,,,,,
EE00313,,,,,,,,
EE00312,,,,,,,,
EE00311,,,,,,,,
EE00318,,,,,,,,
EE00319,,,,,,,,
EE00320,,,,,,,,
EE01761,,,,,,,,
EE01762,,,,,,,,
EE01763,,,,,,,,
EE01764,,,,,,,,
EE01765,,,,,,,,
EE01766,,,,,,,,
EE01767,,,,,,,,
EE01768,,,,,,,,
EE01159,,,,,,,,
EE01769,,,,,,,,
EE01161,,,,,,,,
EE01770,,,,,,,,
FF03301,,,,,,,,
FF03257,,,,,,,,
FF03258,,,,,,,,
FF03302,,,,,,,,
FF03303,,,,,,,,
FF03304,,,,,,,,
FF03305,,,,,,,,
FF03306,,,,,,,,
FF03307,,,,,,,,
EE01082,EE04330,30/04/2019,,,,,,
EE01083,,,,,,,,
