Parameter,Mean,Median,SD,lcl,ucl
ann.surv[1],0.719584877643172,0.713586975561046,0.0197724021711661,0.700483458762441,0.772885413942064
ann.surv[2],0.71103017113187,0.708068284618308,0.0102703164017142,0.700292608442821,0.738320143418452
ann.surv[3],0.759931398200785,0.7555076593715,0.0371026569331321,0.704156010526107,0.842765306800401
ann.surv[4],0.844945196447749,0.844379598715639,0.062814871511088,0.725876475830479,0.966985743548277
ann.surv[5],0.858869878489645,0.858572606325349,0.0360072281339347,0.789157604700398,0.930218970165527
ann.surv[6],0.968451007439159,0.974715112180043,0.0256250093338164,0.904359920885213,0.998933120395789
ann.surv[7],0.74895945238815,0.742718883557741,0.0346228871282537,0.702385363694726,0.829325072059079
"N[1,1]",0.7737,0,1.16987204286903,0,4
"N[2,1]",2.69083333333333,2,2.64332156144212,0,9
"N[3,1]",60.0609666666667,60,8.12283914339154,46,77
"N[4,1]",45.9665666666667,46,5.20813655431907,37,57
"N[5,1]",62.4618666666667,62,6.8239552114381,50,77
"N[6,1]",54.3678333333333,54,8.27335161328947,40,73
"N[7,1]",128.2685,128,12.1877544744156,107,154
"N[8,1]",103.086166666667,102,12.0980723292608,81.975,129
"N[1,2]",1.90963333333333,1,2.36738688914838,0,8
"N[2,2]",268.106733333333,268,14.9477687026703,240,299
"N[3,2]",209.3113,209,9.45333298331774,192,229
"N[4,2]",262.577933333333,263,24.3959265405098,214,309
"N[5,2]",271.823766666667,271,13.4475302446662,247,299
"N[6,2]",267.132433333333,267,12.1979310156651,245,293
"N[7,2]",315.118733333333,314,20.8001600302529,278,360
"N[8,2]",304.068233333333,303,25.0334309800803,260,357
"N[1,3]",207.252766666667,206,27.8836246848051,157,266
"N[2,3]",627.506533333333,626,34.8934302655683,564,699
"N[3,3]",553.033733333333,552,26.0038587281038,505,606
"N[4,3]",419.293666666667,417,31.0292698443764,364,485
"N[5,3]",548.969666666667,549,29.5236910773938,492,608
"N[6,3]",504.2246,503,23.5989106766853,460,553
"N[7,3]",706.492166666667,706,30.842673592325,647,768
"N[8,3]",527.371733333333,526,25.5115603008882,481,581
"N[1,4]",1.02536666666667,1,1.45359105773288,0,5
"N[2,4]",4.7954,3,4.79747565904091,0,18
"N[3,4]",98.2659,98,9.76812389346832,80,119
"N[4,4]",73.7676666666667,73,9.68963798042503,57,95
"N[5,4]",62.5064333333333,62,9.77143837820998,45,84
"N[6,4]",81.6448333333334,81,9.8968558086589,64,102
"N[7,4]",98.186,97,11.2446795757205,79,123
"N[8,4]",178.984866666667,176,24.9574464529795,138,235
deviance,2383.31834862464,2256.87333649653,645.50747209558,1614.37400205642,4352.35165327971
