Parameter,Mean,Median,SD,lcl,ucl
ann.surv[1],0.718865669825393,0.713087463288261,0.0189329475558868,0.700494009893725,0.770208811982881
ann.surv[2],0.709235016786542,0.706616797960387,0.00877932419890508,0.70026052512193,0.732550216156029
ann.surv[3],0.810867989287818,0.810730600743884,0.0421724210663199,0.72924195438184,0.893794658445942
ann.surv[4],0.767813582478545,0.758779104947153,0.0488884582110682,0.703098749086751,0.883994661506989
ann.surv[5],0.854207266413262,0.854097381091899,0.0368061042957305,0.782016004488325,0.925892871605513
ann.surv[6],0.978218474947246,0.983238467626729,0.0188082105231896,0.930267030617809,0.99929581280169
ann.surv[7],0.725835181438958,0.720566901321721,0.0213994550840929,0.700901861973581,0.779441244345525
"N[1,1]",0.797133333333333,0,1.21208941677063,0,4
"N[2,1]",2.75276666666667,2,2.67848492403296,0,10
"N[3,1]",54.9640333333333,54,6.76401740560083,43,70
"N[4,1]",44.5998333333333,44,4.24445133687822,37,54
"N[5,1]",49.9878333333333,49,5.09106563211782,42,62
"N[6,1]",79.0261666666667,78,13.2033490544292,57,109
"N[7,1]",244.884066666667,243,25.884576356819,200,300
"N[8,1]",193.7744,192,23.9826397672776,152,245
"N[1,2]",1.98246666666667,1,2.44419551562735,0,9
"N[2,2]",270.416566666667,270,13.9389160981628,243,298
"N[3,2]",208.535166666667,208,8.36637096820727,193,226
"N[4,2]",280.530233333333,281,28.4400289577992,225,334
"N[5,2]",276.511666666667,276,14.7789989912238,249,307
"N[6,2]",273.076066666667,273,13.2825761089416,249,300
"N[7,2]",475.0844,473,37.5308961023502,408,554
"N[8,2]",529.507266666667,527,46.8816041750126,445,630
"N[1,3]",212.814066666667,211,28.8044039211321,161,274
"N[2,3]",633.3117,632,34.9065403422046,569,705
"N[3,3]",559.289633333333,558,25.5826769835425,512,612
"N[4,3]",455.702,454,33.2792584998756,394,524
"N[5,3]",553.771166666667,553,29.6573788565832,497,613
"N[6,3]",503.2098,503,23.4307280565623,459,551
"N[7,3]",720.2555,720,29.0092215955763,665,778
"N[8,3]",520.5948,520,22.1032237025115,480,567
"N[1,4]",1.12413333333333,1,1.57827140048092,0,5
"N[2,4]",5.40186666666667,4,5.51247519374442,0,20
"N[3,4]",98.3183333333333,98,9.77900735530201,80,118
"N[4,4]",81.2568333333333,81,10.1247989456916,63,103
"N[5,4]",61.8146333333333,61,9.59467253863273,45,83
"N[6,4]",80.6423333333333,80,9.85599204755819,63,101
"N[7,4]",97.2412666666667,96,11.0957361588849,78,122
"N[8,4]",173.245066666667,171,24.1692424527176,133,227.024999999998
deviance,2831.13589618902,2536.69181851458,924.093091253478,1770.20246968337,5006.61032775291
